Тип предприятия,Код предприятия,Количество хостов,Код реализованной угрозы,Успех,Регион размещения предприятия,Дата инцидента,Региональное время
медицина,0854,916,58,0,Севастополь,24.03.2023,24.03.2023 03:15
ресторанный бизнес,0334,1472,40,0,Ярославская область,27.08.2025,28.08.2025 00:07
фармацевтика,3572,1152,180,1,Ростовская область,10.12.2023,10.12.2023 22:38
химия,2684,837,28,0,Республика Башкортостан,07.02.2025,07.02.2025 17:45
ресторанный бизнес,1246,1412,177,0,Псковская область,09.09.2024,10.09.2024 00:38
химия,9273,1802,11,1,Республика Хакасия,27.05.2025,28.05.2025 04:23
добыча,8290,1526,88,0,Республика Дагестан,30.09.2025,30.09.2025 06:27
системная интеграция,7533,1648,40,1,Калужская область,04.12.2025,04.12.2025 23:17
образование,8818,1786,124,1,Ямало-Ненецкий автономный округ,03.07.2024,03.07.2024 15:54
отели,1420,771,226,1,Республика Марий,09.08.2025,09.08.2025 21:39
маркетинг,5512,258,127,1,Орловская область,25.09.2025,25.09.2025 09:22
автобизнес,5577,772,226,1,Республика Бурятия,21.01.2023,22.01.2023 00:12
добыча,3955,1674,105,1,Республика Бурятия,07.05.2024,08.05.2024 06:30
НКО,8042,1117,203,0,Архангельская область,25.08.2024,25.08.2024 10:25
отели,5017,1559,149,1,Курганская область,23.12.2025,23.12.2025 16:27
медицина,5420,920,180,1,Нижегородская область,19.09.2024,19.09.2024 11:14
химия,3156,846,31,0,Курская область,19.03.2024,20.03.2024 02:30
автобизнес,9660,1756,135,1,Вологодская область,02.02.2024,02.02.2024 12:14
системная интеграция,2940,819,4,0,Кировская область,04.04.2023,04.04.2023 04:35
информационные технологии,2069,1506,223,1,Псковская область,26.01.2023,26.01.2023 21:18
логистика,7844,1102,88,0,Республика Коми,01.06.2024,01.06.2024 18:07
добыча,6566,1207,19,0,Костромская область,02.11.2023,02.11.2023 21:19
добыча,4067,442,143,1,Приморский край,07.04.2024,08.04.2024 02:24
консалтинг,7254,808,221,1,Республика Башкортостан,04.05.2023,05.05.2023 00:47
химия,3405,1481,55,1,Донецкая Народная Республика,16.06.2023,16.06.2023 08:15
розничная торговля,9044,353,41,0,Чеченская республика,11.07.2025,12.07.2025 01:38
логистика,4772,266,60,1,Республика Татарстан,18.07.2025,18.07.2025 05:43
отели,4335,1813,203,0,Республика Карачаево-Черкесия,24.08.2023,24.08.2023 20:14
НКО,2442,744,212,0,Мурманская область,03.05.2023,03.05.2023 08:50
информационные технологии,9750,1733,212,1,Ханты-Мансийский автономный округ - Югра,12.09.2023,12.09.2023 19:44
информационные технологии,6595,757,129,1,Ханты-Мансийский автономный округ - Югра,14.06.2023,15.06.2023 00:02
реклама,5281,1436,65,0,Архангельская область,13.04.2024,14.04.2024 00:53
фармацевтика,9620,242,196,1,Амурская область,24.03.2023,24.03.2023 14:30
безопасность,7246,769,47,1,Чукотский автономный округ,04.10.2025,04.10.2025 14:30
системная интеграция,6691,882,83,0,Смоленская область,06.11.2024,06.11.2024 16:44
логистика,4723,1556,103,0,Свердловская область,30.06.2023,30.06.2023 15:16
телекоммуникации,1900,1782,104,0,Донецкая Народная Республика,04.08.2025,04.08.2025 16:03
ресторанный бизнес,8495,940,160,1,Камчатский край,24.06.2025,24.06.2025 13:13
автобизнес,8999,468,74,1,Омская область,06.09.2023,06.09.2023 06:40
образование,3921,1653,41,1,Иркутская область,29.01.2023,30.01.2023 01:26
добыча,3682,1923,30,1,Тверская область,12.11.2023,12.11.2023 18:59
информационные технологии,8338,1644,70,1,Оренбургская область,25.08.2025,25.08.2025 12:29
медицина,2370,985,49,0,Ленинградская область,19.07.2024,19.07.2024 16:21
безопасность,4378,1880,1,1,Пермский край,29.09.2025,29.09.2025 09:28
медицина,7936,906,86,1,Свердловская область,21.10.2024,21.10.2024 11:44
отели,9369,984,60,1,Республика Карелия,13.10.2024,14.10.2024 02:30
маркетинг,6326,1559,203,0,Томская область,17.03.2023,17.03.2023 11:32
фармацевтика,5440,1981,26,1,Вологодская область,13.12.2025,13.12.2025 17:00
энергетика,6718,1983,168,0,Мурманская область,19.08.2025,19.08.2025 11:21
образование,6513,1530,21,1,Запорожская область,28.12.2025,28.12.2025 15:20
НКО,7995,1986,139,0,Магаданская область,21.05.2023,21.05.2023 18:40
информационные технологии,3728,1729,24,1,Вологодская область,25.07.2023,25.07.2023 17:10
информационные технологии,0475,294,84,0,Удмуртская Республика,04.01.2025,04.01.2025 14:27
энергетика,4001,1287,106,0,Брянская область,25.12.2023,25.12.2023 05:39
маркетинг,3946,1219,150,0,Рязанская область,02.08.2025,02.08.2025 23:16
консалтинг,4184,1565,3,1,Республика Татарстан,20.11.2023,20.11.2023 05:28
системная интеграция,9627,812,164,1,Чувашская Республика,24.07.2025,24.07.2025 12:12
маркетинг,7917,418,61,1,Амурская область,05.01.2025,06.01.2025 03:18
информационные технологии,0360,1899,169,1,Кировская область,17.01.2023,17.01.2023 21:55
машиностроение,9936,1726,128,1,Рязанская область,22.12.2024,22.12.2024 10:40
ресторанный бизнес,4107,1588,194,0,Камчатский край,18.07.2023,19.07.2023 08:41
машиностроение,5062,1815,113,0,Республика Саха (Якутия),17.01.2025,18.01.2025 08:08
добыча,4836,869,192,1,Калужская область,16.02.2024,16.02.2024 07:50
медицина,5995,1287,129,1,Брянская область,10.06.2024,10.06.2024 18:51
информационные технологии,5550,1847,30,1,Мурманская область,16.10.2023,16.10.2023 10:55
маркетинг,9132,949,24,1,Санкт-Петербург,25.06.2024,25.06.2024 20:07
консалтинг,6039,1577,192,1,Республика Саха (Якутия),19.02.2025,20.02.2025 05:23
химия,3831,1165,7,1,Сахалинская область,29.03.2024,30.03.2024 07:04
НКО,7607,1635,78,1,Новгородская область,14.10.2023,14.10.2023 04:02
информационные технологии,8072,437,25,0,Республика Хакасия,05.10.2023,05.10.2023 19:29
системная интеграция,8851,1058,151,0,Республика Дагестан,22.07.2023,22.07.2023 18:39
реклама,4584,267,177,1,Тамбовская область,27.06.2025,27.06.2025 17:15
системная интеграция,1628,1604,95,1,Краснодарский край,26.03.2025,26.03.2025 11:12
химия,7451,387,170,0,Республика Крым,13.02.2023,13.02.2023 04:50
телекоммуникации,3991,457,202,0,Ленинградская область,29.02.2024,29.02.2024 21:13
отели,5384,1785,38,0,Кировская область,24.10.2023,24.10.2023 07:34
автобизнес,2859,425,170,0,Ярославская область,31.01.2023,31.01.2023 14:50
отели,9648,863,5,0,Республика Мордовия,18.04.2023,18.04.2023 07:47
реклама,8620,432,191,0,Курганская область,07.07.2025,07.07.2025 16:32
фармацевтика,1787,1125,129,0,Сахалинская область,30.03.2023,31.03.2023 10:50
безопасность,4942,1138,165,0,Краснодарский край,07.09.2025,07.09.2025 15:27
химия,8033,1658,114,0,Ненецкий автономный округ,21.10.2024,21.10.2024 22:09
добыча,2068,763,160,1,Ставропольский край,22.12.2025,22.12.2025 12:29
безопасность,9920,1081,26,0,Севастополь,16.03.2024,16.03.2024 16:28
отели,6780,894,212,1,Республика Ингушетия,01.05.2025,02.05.2025 02:06
телекоммуникации,6993,840,171,1,Ростовская область,09.11.2023,10.11.2023 00:59
логистика,1100,386,213,0,Архангельская область,03.06.2025,03.06.2025 06:47
системная интеграция,2132,1339,16,1,Луганская Народная Республика,08.09.2023,08.09.2023 16:22
реклама,0843,789,154,1,Астраханская область,01.08.2023,01.08.2023 21:32
ресторанный бизнес,2536,1544,124,0,Псковская область,18.12.2024,18.12.2024 20:23
химия,4565,1375,58,1,Республика Бурятия,23.02.2023,24.02.2023 03:59
автобизнес,0475,569,70,1,Саратовская область,19.12.2024,19.12.2024 03:11
энергетика,9279,1546,103,0,Владимирская область,04.03.2023,04.03.2023 05:47
безопасность,3525,970,108,1,Саратовская область,19.11.2023,19.11.2023 14:19
телекоммуникации,9300,1421,22,0,Костромская область,19.11.2023,19.11.2023 22:03
добыча,4459,1107,170,1,Омская область,24.06.2025,24.06.2025 19:17
ресторанный бизнес,8395,433,89,1,Новгородская область,03.08.2024,04.08.2024 00:43
фармацевтика,7973,1279,171,1,Республика Карелия,27.03.2024,27.03.2024 15:38
машиностроение,0126,618,78,0,Ивановская область,07.06.2024,07.06.2024 12:20
химия,0127,1218,192,1,Калужская область,22.09.2023,22.09.2023 15:34
отели,8197,1344,214,1,Мурманская область,24.03.2025,25.03.2025 02:02
реклама,0308,1141,20,1,Амурская область,29.05.2025,30.05.2025 03:25
НКО,6844,792,30,1,Москва,27.10.2024,27.10.2024 08:51
образование,7539,1903,177,1,Архангельская область,13.06.2025,13.06.2025 06:15
реклама,9649,1020,135,0,Республика Северная Осетия-Алания,27.09.2024,28.09.2024 02:21
отели,5457,1795,44,0,Кемеровская область,22.08.2023,22.08.2023 23:32
ресторанный бизнес,5725,919,187,0,Тульская область,30.07.2023,30.07.2023 07:16
ресторанный бизнес,2843,1433,40,0,Калужская область,08.10.2025,08.10.2025 17:48
фармацевтика,9495,1119,175,1,Камчатский край,09.10.2024,09.10.2024 16:28
добыча,7683,1105,162,1,Кировская область,26.04.2023,26.04.2023 14:32
добыча,5086,1145,116,0,Краснодарский край,25.01.2025,25.01.2025 12:04
НКО,1480,1459,153,1,Челябинская область,26.03.2023,26.03.2023 19:58
фармацевтика,3085,858,155,1,Новосибирская область,05.11.2023,05.11.2023 08:28
химия,5627,1662,22,0,Республика Карелия,22.05.2024,23.05.2024 01:28
консалтинг,8587,1270,157,0,Республика Калмыкия,02.02.2025,02.02.2025 12:24
реклама,5544,1590,154,0,Камчатский край,16.11.2024,16.11.2024 14:21
химия,9142,1589,99,1,Чувашская Республика,04.11.2023,04.11.2023 13:05
фармацевтика,2318,916,80,1,Ярославская область,23.06.2023,23.06.2023 12:35
маркетинг,5382,1865,33,0,Республика Крым,17.05.2025,17.05.2025 19:23
металлургия,5941,832,47,0,Саратовская область,22.09.2025,22.09.2025 09:14
энергетика,2539,358,76,0,Новосибирская область,14.12.2025,14.12.2025 08:42
телекоммуникации,2148,1423,97,0,Смоленская область,06.01.2024,07.01.2024 01:49
образование,2713,1676,113,0,Чеченская республика,16.01.2025,17.01.2025 00:46
отели,7278,1450,73,1,Рязанская область,29.12.2025,29.12.2025 10:19
логистика,3179,953,174,1,Челябинская область,31.07.2024,31.07.2024 17:32
безопасность,6860,531,210,0,Приморский край,11.10.2023,11.10.2023 18:03
НКО,7874,1990,96,0,Алтайский край,13.09.2023,13.09.2023 16:05
розничная торговля,4470,1120,132,0,Ямало-Ненецкий автономный округ,07.07.2023,07.07.2023 12:52
консалтинг,5728,254,107,0,Республика Северная Осетия-Алания,25.10.2025,25.10.2025 14:15
маркетинг,1338,967,58,0,Пензенская область,22.07.2023,23.07.2023 01:41
телекоммуникации,2393,481,10,1,Курганская область,12.10.2023,13.10.2023 03:30
консалтинг,0087,362,5,1,Тамбовская область,03.11.2023,03.11.2023 20:46
образование,8648,1066,29,1,Тульская область,08.09.2024,08.09.2024 06:03
отели,6879,1508,204,1,Ленинградская область,16.08.2023,16.08.2023 18:38
медицина,0270,1494,132,0,Владимирская область,19.08.2024,19.08.2024 16:00
образование,5781,692,147,1,Орловская область,25.06.2023,25.06.2023 19:23
добыча,8619,1314,130,0,Кабардино-Балкарская Республика,20.08.2025,20.08.2025 04:40
маркетинг,6117,719,192,0,Астраханская область,19.05.2023,19.05.2023 14:15
НКО,1699,1780,149,1,Ивановская область,01.04.2023,01.04.2023 14:34
телекоммуникации,2869,1900,200,1,Оренбургская область,09.01.2024,09.01.2024 09:04
консалтинг,0606,800,52,0,Белгородская область,27.03.2023,27.03.2023 13:59
информационные технологии,8445,1015,209,1,Чувашская Республика,16.03.2023,16.03.2023 23:12
информационные технологии,5849,1965,200,0,Севастополь,10.11.2024,10.11.2024 11:07
системная интеграция,7160,1019,191,1,Кабардино-Балкарская Республика,25.11.2024,25.11.2024 08:31
логистика,6019,1832,133,1,Ненецкий автономный округ,19.05.2025,19.05.2025 05:27
образование,2957,1317,76,1,Псковская область,13.06.2023,13.06.2023 13:42
информационные технологии,5022,1113,155,1,Брянская область,28.06.2025,28.06.2025 14:28
машиностроение,5777,1459,112,1,Чукотский автономный округ,28.04.2023,28.04.2023 14:42
НКО,6656,944,132,0,Московская область,20.10.2023,20.10.2023 22:43
консалтинг,0571,458,18,0,Республика Крым,20.01.2025,20.01.2025 14:24
фармацевтика,0531,1439,40,1,Ростовская область,31.01.2025,31.01.2025 17:48
добыча,9404,481,136,1,Республика Северная Осетия-Алания,05.10.2024,05.10.2024 23:17
отели,1859,253,189,0,Томская область,26.11.2025,26.11.2025 19:58
медицина,1930,736,199,1,Тюменская область,15.03.2024,16.03.2024 00:18
логистика,3280,451,35,0,Тюменская область,20.12.2023,21.12.2023 03:28
добыча,5237,1567,89,0,Иркутская область,17.08.2024,17.08.2024 17:54
розничная торговля,2853,1825,93,0,Тверская область,16.02.2024,16.02.2024 07:15
логистика,0431,939,142,1,Челябинская область,23.09.2023,24.09.2023 00:56
добыча,1078,833,102,1,Республика Алтай,21.04.2025,21.04.2025 20:52
фармацевтика,1209,456,82,0,Тюменская область,12.08.2025,13.08.2025 02:33
системная интеграция,2103,1998,213,0,Ярославская область,05.06.2025,05.06.2025 19:58
машиностроение,2035,1261,40,1,Брянская область,28.11.2023,28.11.2023 13:59
отели,5670,1262,73,0,Чувашская Республика,07.02.2024,07.02.2024 23:35
автобизнес,2051,1480,78,0,Новосибирская область,12.12.2023,13.12.2023 01:37
энергетика,2805,1549,160,1,Забайкальский край,26.03.2023,26.03.2023 09:05
машиностроение,9450,742,167,0,Амурская область,03.05.2025,04.05.2025 04:40
металлургия,8160,1484,140,1,Республика Крым,10.09.2024,10.09.2024 18:15
маркетинг,4874,1128,19,0,Смоленская область,19.06.2025,19.06.2025 16:30
консалтинг,3343,896,156,0,Пензенская область,15.10.2024,16.10.2024 02:55
системная интеграция,6533,467,195,1,Кемеровская область,06.08.2023,06.08.2023 17:15
консалтинг,2008,747,116,0,Владимирская область,18.07.2023,18.07.2023 04:18
маркетинг,6851,708,222,0,Ульяновская область,02.10.2024,02.10.2024 09:48
розничная торговля,8164,1254,120,1,Республика Башкортостан,15.10.2025,15.10.2025 05:05
маркетинг,8282,1136,62,0,Республика Саха (Якутия),23.12.2024,23.12.2024 10:03
информационные технологии,8109,1423,226,1,Республика Татарстан,17.01.2023,17.01.2023 06:27
энергетика,4334,1689,94,1,Республика Калмыкия,03.04.2023,03.04.2023 15:03
фармацевтика,9205,598,93,1,Мурманская область,02.03.2025,02.03.2025 19:28
медицина,4583,1890,160,0,Ярославская область,18.07.2023,18.07.2023 15:23
телекоммуникации,9140,948,194,0,Белгородская область,08.11.2025,08.11.2025 15:32
машиностроение,0743,279,36,1,Курганская область,29.11.2025,29.11.2025 19:09
образование,8447,486,84,1,Смоленская область,15.03.2025,15.03.2025 22:47
информационные технологии,9728,888,130,1,Забайкальский край,05.09.2024,06.09.2024 00:52
металлургия,6036,878,173,0,Республика Дагестан,22.09.2024,23.09.2024 02:55
НКО,0437,1422,122,1,Севастополь,11.04.2024,12.04.2024 02:03
фармацевтика,7872,549,135,1,Владимирская область,11.05.2024,11.05.2024 04:36
химия,3126,238,113,1,Республика Дагестан,07.11.2023,07.11.2023 16:44
ресторанный бизнес,6724,1227,199,1,Краснодарский край,10.10.2023,10.10.2023 19:13
медицина,5326,1556,123,1,Пензенская область,21.12.2023,21.12.2023 17:58
медицина,5609,1318,91,1,Сахалинская область,18.09.2025,18.09.2025 17:15
автобизнес,9144,811,58,1,Республика Татарстан,29.02.2024,01.03.2024 01:45
логистика,5195,1182,90,1,Республика Татарстан,07.09.2023,07.09.2023 21:43
медицина,6221,1008,210,1,Владимирская область,17.08.2024,17.08.2024 04:18
добыча,5675,1105,168,1,Оренбургская область,14.03.2024,14.03.2024 11:52
медицина,4443,1351,179,1,Ивановская область,12.08.2023,12.08.2023 22:47
фармацевтика,3921,696,13,0,Чукотский автономный округ,21.04.2024,21.04.2024 13:06
реклама,5412,1669,121,0,Херсонская область,09.10.2023,09.10.2023 03:35
розничная торговля,6667,1537,226,1,Оренбургская область,13.02.2024,13.02.2024 14:20
информационные технологии,0970,1774,23,0,Республика Хакасия,18.03.2023,18.03.2023 12:26
розничная торговля,0596,1912,102,1,Орловская область,15.08.2024,15.08.2024 04:00
информационные технологии,9306,1434,28,1,Республика Татарстан,19.07.2025,19.07.2025 23:34
безопасность,8093,474,218,1,Нижегородская область,30.01.2024,30.01.2024 06:21
розничная торговля,7519,1527,66,0,Санкт-Петербург,21.11.2024,21.11.2024 12:36
ресторанный бизнес,2876,1451,220,1,Республика Карачаево-Черкесия,21.11.2025,21.11.2025 13:05
маркетинг,1563,578,36,1,Ульяновская область,23.05.2024,23.05.2024 03:16
маркетинг,3859,1114,193,1,Самарская область,10.09.2024,10.09.2024 21:46
фармацевтика,0188,735,168,1,Тульская область,08.05.2023,09.05.2023 00:07
консалтинг,5027,527,104,1,Тверская область,27.08.2024,27.08.2024 14:39
отели,3591,473,123,0,Свердловская область,04.02.2025,04.02.2025 18:44
медицина,7715,1751,138,0,Республика Марий,17.06.2023,17.06.2023 19:28
безопасность,5928,359,145,0,Краснодарский край,01.11.2025,01.11.2025 09:36
медицина,2456,536,84,1,Новгородская область,25.02.2024,26.02.2024 01:37
логистика,1490,1245,115,0,Свердловская область,28.09.2023,28.09.2023 21:26
консалтинг,9240,318,144,1,Запорожская область,23.09.2024,24.09.2024 02:01
маркетинг,4170,1872,1,0,Республика Саха (Якутия),30.05.2023,30.05.2023 10:27
системная интеграция,1045,1308,16,0,Курганская область,06.03.2023,06.03.2023 14:26
розничная торговля,2219,1768,165,1,Ростовская область,22.02.2025,22.02.2025 17:55
маркетинг,6155,364,175,0,Севастополь,13.12.2024,13.12.2024 06:11
медицина,6440,1283,33,0,Калининградская область,16.02.2023,16.02.2023 11:29
медицина,6949,1289,98,0,Республика Марий,01.08.2025,01.08.2025 14:09
автобизнес,3089,1992,186,0,Республика Адыгея,08.05.2025,08.05.2025 22:49
металлургия,3944,622,18,0,Хабаровский край,10.03.2023,11.03.2023 00:38
машиностроение,4010,1716,12,1,Ханты-Мансийский автономный округ - Югра,24.04.2024,24.04.2024 22:13
машиностроение,2296,1231,75,0,Амурская область,15.10.2024,16.10.2024 03:38
телекоммуникации,3882,818,225,0,Донецкая Народная Республика,03.12.2025,03.12.2025 10:26
информационные технологии,4509,324,143,0,Камчатский край,24.05.2025,25.05.2025 05:31
машиностроение,5643,1517,172,1,Республика Алтай,14.10.2024,15.10.2024 05:26
реклама,2445,814,97,0,Республика Хакасия,27.08.2025,27.08.2025 14:54
отели,4928,1956,182,0,Челябинская область,29.04.2023,29.04.2023 22:26
реклама,9131,1285,35,1,Республика Марий,06.06.2024,06.06.2024 09:21
НКО,1296,1121,217,1,Архангельская область,26.01.2024,26.01.2024 04:17
маркетинг,9912,1434,11,0,Курская область,20.03.2024,20.03.2024 18:13
телекоммуникации,4968,231,55,0,Тверская область,07.09.2025,07.09.2025 10:44
образование,3351,1012,62,1,Республика Татарстан,18.02.2025,18.02.2025 17:34
НКО,5887,831,67,1,Кемеровская область,15.10.2025,15.10.2025 21:06
логистика,5247,616,95,1,Чеченская республика,04.04.2023,04.04.2023 21:55
отели,2391,233,67,1,Удмуртская Республика,09.11.2023,09.11.2023 09:21
отели,6224,1366,214,0,Томская область,22.11.2024,22.11.2024 15:48
логистика,8038,1143,44,1,Брянская область,14.10.2023,15.10.2023 02:34
логистика,3016,1310,165,0,Республика Алтай,11.03.2023,11.03.2023 09:52
машиностроение,0105,1044,36,0,Ленинградская область,06.11.2023,06.11.2023 03:13
безопасность,7472,964,16,1,Донецкая Народная Республика,26.09.2025,26.09.2025 03:00
медицина,9039,1042,4,0,Республика Алтай,16.07.2024,17.07.2024 00:18
металлургия,8229,1865,179,1,Калужская область,08.08.2023,08.08.2023 06:33
энергетика,3949,593,159,1,Астраханская область,01.07.2024,01.07.2024 15:05
системная интеграция,6653,1140,145,0,Воронежская область,06.09.2024,07.09.2024 00:52
добыча,0520,391,104,1,Ставропольский край,01.09.2025,01.09.2025 04:40
металлургия,2808,369,128,1,Республика Крым,09.11.2024,09.11.2024 21:54
химия,8654,287,59,0,Забайкальский край,31.08.2025,31.08.2025 17:02
добыча,4594,1312,145,0,Калужская область,06.10.2024,06.10.2024 03:13
фармацевтика,2363,1740,211,1,Мурманская область,04.09.2024,04.09.2024 08:36
отели,9285,1909,218,1,Запорожская область,10.11.2024,10.11.2024 15:48
энергетика,1285,1225,191,1,Республика Коми,20.07.2023,20.07.2023 16:14
добыча,5581,1439,197,1,Ульяновская область,02.03.2023,02.03.2023 23:17
консалтинг,8039,667,92,1,Ямало-Ненецкий автономный округ,16.01.2024,17.01.2024 02:37
маркетинг,1405,1781,159,1,Республика Марий,31.05.2023,31.05.2023 05:17
энергетика,6226,1657,201,0,Кабардино-Балкарская Республика,10.10.2024,10.10.2024 14:06
добыча,0086,831,114,1,Нижегородская область,29.07.2023,29.07.2023 07:05
розничная торговля,7062,1119,143,1,Псковская область,23.02.2023,23.02.2023 05:22
медицина,1525,1422,154,1,Кабардино-Балкарская Республика,26.01.2023,26.01.2023 12:26
